Tarife Adý;Tarife Grubu;Her Yöne Konuþma;Vodafone;SABIT TELEFON;Her Yöne SMS;Vodafone SMS;Internet;Kota;Kontrat;Kalma Sözü;Kontrat Süresi;Fiyat
Cep Avantaj Mini Her Yöne+;Cep Avantaj;250;##############;##############;##############;##############;YOK;##############;YOK;VAR;12;22
Cep Avantaj Vodafone'lularla;Cep Avantaj;##############;SINIRSIZ;##############;##############;10000;YOK;##############;YOK;##############;##############;39
Cep Avantaj Mini Süper;Cep Avantaj;500;##############;##############;##############;##############;YOK;##############;YOK;VAR;12;34
Cep Avantaj Midi;Cep Avantaj;750;##############;##############;##############;##############;YOK;##############;YOK;VAR;12;44
Cep Avantaj Her Yöne Ekstra;Cep Avantaj;1000;##############;##############;1000;1000;VAR;1GB;YOK;##############;##############;59
Cep Avantaj Her Yöne;Cep Avantaj;750;SINIRSIZ;SINIRSIZ;##############;##############;YOK;##############;YOK;VAR;12;59
Faturalýya Hoþgeldin Kampanyasý;Hesabýný Bilen;200;##############;##############;##############;##############;YOK;##############;VAR;##############;12;19
Hesabýný Bilen;Hesabýný Bilen;200;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;25
Hesabýný Bilen Mini;Hesabýný Bilen;200;##############;##############;20;##############;VAR;20MB;YOK;##############;##############;19
Yýllýk Abonelik Kampanyasý ile Hesabýný Bilen Mini Tarifes;Hesabýný Bilen;200;##############;##############;20;##############;VAR;20MB;VAR;##############;12;15
Hesabýný Bilen Hepsi 500 Tarifesi;Hesabýný Bilen;500;##############;##############;500;##############;VAR;500MB;YOK;##############;##############;35
Hesabýný Bilen Midi;Hesabýný Bilen;500;##############;##############;50;##############;VAR;50MB;YOK;##############;##############;29
Vodafone Freezone’dan Faturayý Aþmayan Tarife;Hesabýný Bilen;500;##############;##############;5000;##############;YOK;##############;YOK;##############;##############;25
Yýllýk Abonelik Kampanyasý ile Hesabýný Bilen Midi Tarifesi;Hesabýný Bilen;500;##############;##############;50;##############;VAR;50MB;VAR;##############;12;25
Hesabýný Bilen Hepsi 1000 Tarifesi;Hesabýný Bilen;1000;##############;##############;1000;##############;VAR;1GB;YOK;##############;##############;55
Cep Kamu Mini;Cep Kamu;250;##############;##############;##############;##############;YOK;##############;VAR;##############;24;22
Kamu +1 TL 250 Avantaj Kampanyasýyla Cep Kamu Mini;Cep Kamu;500;##############;##############;##############;##############;YOK;##############;VAR;##############;12;23
Cep Kamu Midi ;Cep Kamu;750;##############;##############;##############;##############;YOK;##############;VAR;##############;24;33
Kamu +1 TL 250 Avantaj Kampanyasýyla Cep Kamu Midi(Kontratlý);Cep Kamu;1000;##############;##############;250;##############;YOK;##############;VAR;##############;12;34
Cep Kamu Maksi ;Cep Kamu;1250;##############;##############;##############;##############;YOK;##############;VAR;##############;24;44
Kamu +1 TL 250 Avantaj Kampanyasýyla Cep Kamu Maksi;Cep Kamu;1500;##############;##############;250;##############;VAR;250MB;VAR;##############;12;45
Cep Kamu Mini;Cep Kamu;250;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;22
Cep Kamu Midi;Cep Kamu;750;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;33
Cep Kamu Maksi;Cep Kamu;1250;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;44
Genç Avantaj Tarifesi;Genç Avantaj;500;##############;##############;5000;##############;VAR;Facebook/Twitter;YOK;##############;##############;30
Ýndirimli Genç Avantaj Kampanyasý ile Genç Avantaj;Genç Avantaj;500;##############;##############;5000;##############;VAR;Facebook/Twitter;VAR;##############;12;25
Vodafone Freezone’dan Faturayý Aþmayan Tarife;Genç Avantaj;500;##############;##############;5000;##############;YOK;##############;YOK;##############;##############;25
Genç Avantaj Ekstra;Genç Avantaj;500;##############;##############;5000;##############;VAR;500MB;VAR;##############;24;35
Katlayan Genç Avantaj Kampanyasý ile Genç Avantaj Ekstra;Genç Avantaj;750;##############;##############;5000;##############;VAR;500MB, Facebook, Twitter;VAR;##############;12;40
Katlayan Genç Avantaj Kampanyasý ile Genç Avantaj;Genç Avantaj;750;##############;##############;5000;##############;VAR;Facebook/Twitter;VAR;##############;12;35
Cep Çiftçi 20;Cep Çiftçi;150;850;##############;##############;##############;YOK;##############;YOK;##############;##############;20
1TL'ye Ekstra Dakika kampanyasýyla Cep Çiftçi 20(Kontratlý);Cep Çiftçi;350;850;##############;##############;##############;YOK;##############;VAR;##############;12;21
Cep Çiftçi 30;Cep Çiftçi;500;500;##############;##############;##############;YOK;##############;YOK;##############;##############;30
1TL'ye Ekstra Dakika kampanyasýyla Cep Çiftçi 30(Kontratlý);Cep Çiftçi;750;500;##############;##############;##############;YOK;##############;VAR;##############;12;31
Cep Çiftçi 40;Cep Çiftçi;1000;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;40
+1TL'ye Ekstra Dakika kampanyasýyla Cep Çiftçi 40 (Kontratlý);Cep Çiftçi;1250;##############;##############;##############;##############;YOK;##############;VAR;##############;12;41
Cep Avantaj 500;Cep Avantaj;500;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;30
Cep Avantaj 500 (Kontratlý);Cep Avantaj;500;##############;##############;##############;##############;YOK;##############;VAR;##############;12;25
Cep Avantaj 1000;Cep Avantaj;1000;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;45
Cep Avantaj 1000 (Kontratlý);Cep Avantaj;1000;##############;##############;##############;##############;YOK;##############;VAR;##############;12;35
Cep Avantaj 1500;Cep Avantaj;1500;##############;##############;##############;##############;YOK;##############;YOK;##############;##############;60
Cep Avantaj 1500 (Kontratlý);Cep Avantaj;1500;##############;##############;##############;##############;YOK;##############;VAR;##############;12;45
Red Mini;Red Tarifesi;2000;##############;##############;2000;##############;VAR;2;YOK;##############;##############;85
Red;Red Tarifesi;3000;##############;##############;3000;##############;VAR;3;YOK;##############;##############;105
Red+;Red Tarifesi;5000;SINIRSIZ;SINIRSIZ;5000;##############;VAR;5;YOK;##############;##############;155
RED Avantaj Kampanyasý;Red Tarifesi;1000;##############;##############;1000;##############;VAR;1;VAR;##############;12;55
Yýllýk Abonelik Red Mini Kampanyasý;Red Tarifesi;2000;SINIRSIZ;SINIRSIZ;2000;##############;VAR;2;VAR;##############;12;70
Yýllýk Abonelik Red Kampanyasý;Red Tarifesi;3000;SINIRSIZ;SINIRSIZ;3000;##############;VAR;3;VAR;VAR;12;80
Yýllýk Abonelik Red+ Kampanyasý;Red Tarifesi;5000;SINIRSIZ;SINIRSIZ;5000;##############;VAR;5;VAR;VAR;12;120
Cep Avantaj 500 - Yýllýk Abonelik Kampanyasý;Cep Avantaj;500;##############;##############;##############;##############;##############;##############;VAR;##############;12;25
